,Filename,ImgDim,Bndbox,ClassStr,label
0,maksssksksss0,"[512, 366]","[79, 105, 109, 142]",without_mask,2
1,maksssksksss0,"[512, 366]","[185, 100, 226, 144]",with_mask,1
2,maksssksksss0,"[512, 366]","[325, 90, 360, 141]",without_mask,2
3,maksssksksss1,"[400, 156]","[321, 34, 354, 69]",with_mask,1
4,maksssksksss1,"[400, 156]","[224, 38, 261, 73]",with_mask,1
5,maksssksksss1,"[400, 156]","[299, 58, 315, 81]",with_mask,1
6,maksssksksss1,"[400, 156]","[143, 74, 174, 115]",with_mask,1
7,maksssksksss1,"[400, 156]","[74, 69, 95, 99]",with_mask,1
8,maksssksksss1,"[400, 156]","[191, 67, 221, 93]",with_mask,1
9,maksssksksss1,"[400, 156]","[21, 73, 44, 93]",with_mask,1
10,maksssksksss1,"[400, 156]","[369, 70, 398, 99]",with_mask,1
11,maksssksksss1,"[400, 156]","[83, 56, 111, 89]",without_mask,2
12,maksssksksss10,"[301, 400]","[98, 267, 194, 383]",with_mask,1
13,maksssksksss100,"[400, 226]","[189, 30, 245, 88]",with_mask,1
14,maksssksksss100,"[400, 226]","[387, 54, 400, 75]",with_mask,1
15,maksssksksss100,"[400, 226]","[118, 87, 163, 126]",with_mask,1
16,maksssksksss101,"[301, 400]","[48, 294, 164, 400]",with_mask,1
17,maksssksksss102,"[400, 225]","[212, 57, 251, 106]",with_mask,1
18,maksssksksss103,"[400, 300]","[42, 54, 94, 110]",with_mask,1
19,maksssksksss103,"[400, 300]","[188, 46, 236, 106]",with_mask,1
20,maksssksksss103,"[400, 300]","[261, 88, 303, 130]",with_mask,1
21,maksssksksss103,"[400, 300]","[368, 112, 400, 151]",with_mask,1
22,maksssksksss104,"[400, 267]","[42, 109, 66, 140]",without_mask,2
23,maksssksksss104,"[400, 267]","[2, 105, 22, 125]",without_mask,2
24,maksssksksss104,"[400, 267]","[30, 88, 46, 105]",without_mask,2
25,maksssksksss104,"[400, 267]","[133, 108, 174, 152]",with_mask,1
26,maksssksksss104,"[400, 267]","[221, 101, 256, 139]",with_mask,1
27,maksssksksss104,"[400, 267]","[304, 131, 331, 158]",without_mask,2
28,maksssksksss104,"[400, 267]","[83, 85, 96, 96]",without_mask,2
29,maksssksksss104,"[400, 267]","[167, 91, 180, 108]",without_mask,2
30,maksssksksss105,"[400, 267]","[178, 143, 213, 202]",with_mask,1
31,maksssksksss105,"[400, 267]","[280, 103, 312, 145]",with_mask,1
32,maksssksksss105,"[400, 267]","[320, 79, 352, 119]",with_mask,1
33,maksssksksss105,"[400, 267]","[365, 53, 390, 84]",with_mask,1
34,maksssksksss105,"[400, 267]","[243, 36, 267, 67]",with_mask,1
35,maksssksksss105,"[400, 267]","[115, 47, 146, 87]",with_mask,1
36,maksssksksss105,"[400, 267]","[33, 88, 65, 131]",with_mask,1
37,maksssksksss105,"[400, 267]","[29, 202, 65, 265]",with_mask,1
38,maksssksksss105,"[400, 267]","[26, 34, 52, 66]",with_mask,1
39,maksssksksss106,"[600, 399]","[154, 51, 423, 391]",with_mask,1
40,maksssksksss107,"[301, 400]","[121, 192, 212, 312]",with_mask,1
41,maksssksksss108,"[400, 225]","[155, 29, 180, 51]",with_mask,1
42,maksssksksss108,"[400, 225]","[206, 35, 228, 58]",with_mask,1
43,maksssksksss108,"[400, 225]","[332, 67, 346, 81]",with_mask,1
44,maksssksksss108,"[400, 225]","[362, 68, 376, 82]",with_mask,1
45,maksssksksss108,"[400, 225]","[267, 72, 278, 83]",without_mask,2
46,maksssksksss109,"[400, 400]","[216, 92, 372, 251]",with_mask,1
47,maksssksksss11,"[400, 267]","[23, 114, 77, 172]",mask_weared_incorrect,0
48,maksssksksss11,"[400, 267]","[147, 157, 200, 211]",with_mask,1
49,maksssksksss11,"[400, 267]","[201, 191, 230, 234]",with_mask,1
50,maksssksksss11,"[400, 267]","[243, 192, 293, 247]",with_mask,1
51,maksssksksss11,"[400, 267]","[309, 182, 346, 224]",with_mask,1
52,maksssksksss11,"[400, 267]","[249, 108, 276, 140]",with_mask,1
53,maksssksksss11,"[400, 267]","[275, 99, 303, 128]",with_mask,1
54,maksssksksss11,"[400, 267]","[195, 90, 214, 113]",with_mask,1
55,maksssksksss11,"[400, 267]","[214, 76, 237, 99]",with_mask,1
56,maksssksksss11,"[400, 267]","[232, 50, 247, 67]",with_mask,1
57,maksssksksss11,"[400, 267]","[266, 45, 281, 61]",with_mask,1
58,maksssksksss11,"[400, 267]","[207, 47, 222, 63]",with_mask,1
59,maksssksksss11,"[400, 267]","[227, 36, 239, 48]",with_mask,1
60,maksssksksss11,"[400, 267]","[253, 33, 267, 45]",with_mask,1
61,maksssksksss11,"[400, 267]","[290, 31, 304, 41]",with_mask,1
